heCode,frontendNameBefore,frontendNameAfter,backendSource,backendCode,backendTitle,derivedFrom,imageUrl,imageExists,originalImageUrl,originalImageExists,missingFields,status
HE-N-B-M06,浅灰底牡丹八宝吉祥纹衣饰汉绣,浅灰底牡丹八宝吉祥纹衣饰汉绣,extra-word,HE-N-B-M06,牡丹八宝吉祥纹汉绣,,/patterns-transparent/HE-N-B-M06.png,true,/patterns/HE-N-B-M06.jpg,true,,OK
HE-N-L-A13,盘金凤凰羽翼局部绣,盘金凤凰羽翼局部绣,word,HE-N-L-A13,盘金凤凰羽翼局部绣,,/patterns-transparent/HE-N-L-A13.png,true,/patterns/HE-N-L-A13.jpg,true,,REVIEW_SOURCE_OR_COPYRIGHT
HE-N-B-R02,朱红底福字花卉蝙蝠方形绣片,朱红底福字花卉蝙蝠方形绣片,derived-word,HE-N-B-R03,福字花卉蝙蝠汉绣,HE-N-B-R03,/patterns-transparent/HE-N-B-R02.png,true,/patterns/HE-N-B-R02.jpg,true,,REVIEW_SOURCE_OR_COPYRIGHT
HE-N-B-B05,黑底福寿瓜果彩蝶方形装饰汉绣,黑底福寿瓜果彩蝶方形装饰汉绣,extra-word,HE-N-B-B05,福寿瓜果彩蝶黑底汉绣,,/patterns-transparent/HE-N-B-B05.png,true,/patterns/HE-N-B-B05.jpg,true,,OK
HE-N-L-B01,白地粉荷蜜蜂小品汉绣,白地粉荷蜜蜂小品汉绣,extra-word,HE-N-L-B01,粉荷蜜蜂白地汉绣,,/patterns-transparent/HE-N-L-B01.png,true,/patterns/HE-N-L-B01.jpg,true,,OK
HE-N-B-M02,紫花对条浅白底戏服汉绣,紫花对条浅白底戏服汉绣,parsed-doc,HE-N-B-M02,紫花对条浅白底戏服汉绣：,,/patterns-transparent/HE-N-B-M02.png,true,/patterns/HE-N-B-M02.png,true,,OK
HE-N-B-B08,紫龙戏珠蓝底装饰绣片,紫龙戏珠蓝底装饰绣片,derived-word,HE-N-B-B04,紫龙戏珠蓝底汉绣,HE-N-B-B04,/patterns-transparent/HE-N-B-B08.png,true,/patterns/HE-N-B-B08.jpg,true,,REVIEW_SOURCE_OR_COPYRIGHT
HE-N-B-R04,红底松鼠葡萄对幅汉绣,红底松鼠葡萄对幅汉绣,parsed-doc,HE-N-B-R04,红底松鼠葡萄对幅汉绣：,,/patterns-transparent/HE-N-B-R04.png,true,/patterns/HE-N-B-R04.jpg,true,,OK
HE-H-B-R09,红底金线青绿五爪龙圆团绣片,红底金线青绿五爪龙圆团绣片,word,HE-H-B-R09,红底金线青绿团龙圆形绣片,,/patterns-transparent/HE-H-B-R09.png,true,/patterns/HE-H-B-R09.jpg,true,,OK
HE-H-S-R08,红底金线黄鹤楼双凤楚纹汉绣,红底金线黄鹤楼双凤楚纹汉绣,parsed-doc,HE-H-S-R08,红底金线黄鹤楼双凤楚纹汉绣：,,/patterns-transparent/HE-H-S-R08.png,true,/patterns/HE-H-S-R08.png,true,,OK
HE-N-B-B07,八鹤祥云黑檀镂空圆台屏,八鹤祥云黑檀镂空圆台屏,word,HE-N-B-B07,八鹤祥云黑檀木圆台屏,,/patterns-transparent/HE-N-B-B07.png,true,/patterns/HE-N-B-B07.jpg,true,,OK
HE-N-L-M08,翠竹双绶带鸟白地绣片 2.,翠竹双绶带鸟白地绣片,parsed-doc,HE-N-L-M08,翠竹绶带鸟白地绣片：,,/patterns-transparent/HE-N-L-M08.png,true,/patterns/HE-N-L-M08.png,true,,REVIEW_SOURCE_OR_COPYRIGHT
HE-N-B-R07,荣华富贵牡丹蝴蝶圆台屏,荣华富贵牡丹蝴蝶圆台屏,word,HE-N-B-R07,荣华富贵牡丹蝴蝶圆台屏,,/patterns-transparent/HE-N-B-R07.png,true,/patterns/HE-N-B-R07.png,true,,OK
